region,01.01.2025,01.02.2025,01.03.2025,01.04.2025,01.05.2025,01.06.2025,01.07.2025,01.08.2025,01.09.2025,01.10.2025,01.11.2025,01.12.2025,01.01.2026,01.02.2026,01.03.2026,01.04.2026
Еврейская автономная область,47 009,44 000,47 727,47 727,50 000,34 167,53 168,35 833,37 717,77 500,33 167,100 000,55 667,38 987,30 909,50 000
Костромская область,105 469,110 000,110 000,111 000,107 500,104 478,106 667,100 000,100 000,119 783,128 358,116 324,108 889,94 410,121 111,50 000
Красноярский край,62 750,50 000,53 333,65 000,50 000,60 000,56 905,56 458,64 706,65 907,56 484,63 636,51 667,65 000,58 889,46 667
Омская область,66 667,87 500,69 337,70 000,80 000,70 000,76 095,98 333,78 000,85 000,72 816,102 273,88 608,90 000,77 000,45 263
Курганская область,30 625,43 333,27 525,27 778,42 000,24 583,30 769,38 667,42 857,29 167,34 470,48 167,46 250,28 000,31 667,45 000
Липецкая область,36 667,35 000,38 000,44 000,39 967,44 722,45 000,36 667,37 500,50 000,50 000,40 000,40 000,56 944,45 000,41 667
Архангельская область,49 332,48 276,50 000,55 000,54 483,41 741,38 889,63 830,66 667,42 875,46 667,74 074,50 000,53 333,54 487,40 313
Смоленская область,36 111,30 000,31 142,30 556,30 000,33 333,30 217,34 483,30 000,39 792,45 000,30 000,30 000,29 552,33 333,38 436
Орловская область,35 000,40 000,35 000,40 411,33 242,35 000,40 909,33 067,34 746,44 500,59 711,50 000,54 000,46 667,51 961,35 484
Новгородская область,18 646,36 667,29 412,36 812,37 120,35 000,36 754,40 833,36 111,35 343,46 061,25 860,32 500,26 795,30 152,33 333
Псковская область,31 667,26 667,27 417,36 833,32 971,36 667,38 462,41 333,39 063,36 571,35 556,57 181,33 333,48 000,34 167,33 000
